ImpactFactor,Journal,Year,Start,End,Duration ,Ecosystem,Meta,ContryAuthor,ContryStudy,DOI,Cited,Cool,Collector
4.85,Ecology,2010,1955,1996,41,freshwater,1,USA,USA,http://dx.doi.org/10.1890/09-0366.1,NA,0,KK
3.47,EcolAppl,2006,1962,2002,40,freshwater,0,USA,USA,http://dx.doi.org/10.1890/1051-0761(2006)016[1487:GSPAFO]2.0.CO;2,8,0,KB
5.102,EcolAppl,2010,1967,2007,40,marine,0,Australia,USA,_http://dx.doi.org/10.1890/09-1724.1,10,0,KB
5.102,EcolAppl,2010,1967,2007,40,marine,0,Australia,USA,http://dx.doi.org/10.1890/09-0998.1,18,0,KB
2.711,MEPS,2010,1970,2009,40,marine,0,Netherlands,Denmark,10.3354/meps08706,5,1,MM
31.36,Science,2010,1850,2009,40,multiple,0,uk,multiple,10.1126/science.1187512,NA,0,ST
2.711,MEPS,2010,1960,2009,39,marine,0,South Africa,South Africa,10.3354/meps08733,5,1,MM
3.412,Oecologia,2010,1968,2006,39,terrestrial,0,UK,UK,10.1007/s00442-010-1656-7,NA,0,MS
3.333,Oecologia,2006,1935,1973,39,freshwater,0,UK,UK,10.1007/s00442-006-0483-3,21,1,MS
4.85,Ecology,2010,1951,1990,39,marine,0,UK,UK,http://dx.doi.org/10.1890/09-1987.1,NA,0,KK
3.47,EcolAppl,2006,1963,2001,38,marine,0,Canada,multiple,_http://dx.doi.org/10.1890/1051-0761(2006)016[1238:ADATER]2.0.CO;2,2,0,KB
3.47,EcolAppl,2006,1964,2002,38,freshwater,0,USA,USA,http://dx.doi.org/10.1890/1051-0761(2006)016[1771:USATST]2.0.CO;2,10,0,KB
4.97,JournalApplEco,2010,1971,2008,38,marine,0,NA,NA,10.1111/j.1365-2664.2010.01842.x,NA,0,Maya
4.97,JournalApplEco,2010,1970,2007,38,terrestrial,0,South Africa,South Africa,10.1111/j.1365-2664.2010.01800.x,NA,0,Maya
4.092,PLoSOne,2010,1969,2006,38,marine,0,USA,multiple,10.1371/journal.pone.0009278,33,1,RBL
4.092,PLoSOne,2010,1969,2006,38,marine,0,NA,NA,NA,NA,0,RBL
4.092,PLoSOne,2010,1969,2006,38,marine,0,NA,NA,NA,NA,0,RBL
4.092,PLoSOne,2010,1969,2006,38,marine,0,NA,NA,10.1371/journal.pone.0009278,NA,0,RBL
4.092,PLoSOne,2010,1969,2006,38,marine,0,NA,NA,NA,NA,0,RBL
2.711,MEPS,2010,1973,2009,37,marine,0,USA,USA,10.3354/meps08833,0,1,MM
2.286,MEPS,2006,1967,2003,37,marine,0,USA,USA,10.3354/meps324207,18,1,MM
5.102,EcolAppl,2010,1970,2006,36,terrestrial,0,Canada,Uganda,http://dx.doi.org/10.1890/09-0128.1,14,0,KB
2.711,MEPS,2010,1970,2006,36,marine,0,Denmark,multiple,10.3354/meps08454,NA,0,BM
2.711,MEPS,2010,1973,2008,36,marine,0,USA,USA,10.3354/meps08570,NA,1,BM
9.643,PNAS,2006,1937,1972,36,terrestrial,0,USA,USA,10.1073/pnas.0600599103 ,54,1,AKO
9.681,PNAS,2010,1974,2009,36,marine,1,Australia,multiple,10.1073/pnas.0908012107,38,1,AKO
4.85,Ecology,2010,1973,2009,36,terrestrial,0,Canada,USA,http://dx.doi.org/10.1890/09-0099.1,NA,1,KK
2.711,MEPS,2010,1975,2009,35,marine,0,Argentina,Aergentina,10.3354/meps08826,3,1,MM
2.286,MEPS,2006,1968,2002,35,marine,0,USA,USA,10.3354/meps326245,6,1,MM
3.412,Oecologia,2010,1972,2006,35,terrestrial,0,Germany,Germany,10.1007/s00442-009-1446-2,NA,1,MS
3.333,Oecologia,2006,1970,2004,35,terrestrial,0,Denmark,Denmark,10.1007/s00442-006-0451-y ,21,0,RZ
3.381,Oikos,2006,1968,2003,35,terrestrial,0,UK,UK,10.1111/j.0030-1299.2006.14183.x,45,0,JaFig
9.681,PNAS,2010,1972,2007,35,terrestrial,1,USA,USA,10.1073/pnas.0909686107 ,32,0,AKO
31.36,Science,2010,1953,1987,35,terrestrial,0,Canada,multiple,10.1126/science.1185802,NA,0,ST
31.36,Science,2010,1975,2009,35,terrestrial,0,usa,mexico,10.1126/science.1184695,NA,0,ST
17.557,EcologyLetters,2010,1971,2004,34,freshwater,0,China,multiple,10.1111/j.1461-0248.2009.01411.x,NA,0,KdeN
4.97,JournalApplEco,2010,1967,2000,34,terrestrial,0,UK,UK,10.1111/j.1365-2664.2010.01771.x,NA,0,Maya
2.711,MEPS,2010,1974,2007,34,marine,0,Portugal,Netherlands,10.3354/meps08493,NA,1,BM
2.711,MEPS,2010,1974,2007,34,marine,0,Spain,Aergentina,10.3354/meps08887,1,1,MM
3.412,Oecologia,2010,1969,2002,34,terrestrial,0,Canada,Finland,10.1007/s00442-009-1443-5,NA,1,MS
4.85,Ecology,2010,1984,2008,34,terrestrial,0,USA,USA,http://dx.doi.org/10.1890/09-1242.1,NA,0,KK
5.102,EcolAppl,2010,1974,2009,33,marine,1,Italy,multiple,http://dx.doi.org/10.1890/08-2131.1,22,0,KB
4.97,JournalApplEco,2010,1975,2007,33,marine,1,NA,NA,10.1111/j.1365-2664.2010.01889.x,NA,0,Maya
36.28,Nature,2010,1976,2008,33,terrestrial,0,uk,USA,doi:10.1038/nature09210,NA,0,JF
3.333,Oecologia,2006,1969,2001,33,terrestrial,0,Norway,Norway,10.1007/s00442-005-0172-7,6,0,MS
3.381,Oikos,2006,1969,2002,33,terrestrial,1,Australia,multiple,10.1111/j.0030-1299.2006.14194.x,107,0,JaFig
3.381,Oikos,2006,9999,9999,33,terrestrial,0,Finland,Finland,10.1111/j.2006.0030-1299.14850.x,23,0,JaFig
5.102,EcolAppl,2010,1975,2007,32,terrestrial,0,USA,USA,http://dx.doi.org/10.1890/08-2261.1,5,0,KB
17.557,EcologyLetters,2010,1926,1957,32,terrestrial,0,USA,USA, 10.1111/j.1461-0248.2010.01496.x,NA,0,KdeN
1.919,JEMBE,2006,1974,2005,32,marine,0,South Africa,South Africa,10.1016/j.jembe.2005.12.031,11,0,BBH
2.711,MEPS,2010,1977,2009,32,marine,1,Argentina,multiple,10.3354/meps08528,NA,1,BM
2.286,MEPS,2006,1974,2005,32,marine,0,Canada,Canada,10.3354/meps316185,52,1,MM
4.85,Ecology,2010,1984,2006,32,terrestrial,0,USA,USA,http://dx.doi.org/10.1890/09-0431.1,NA,0,KK
2.711,MEPS,2010,1975,2006,31,marine,0,USA,USA,10.3354/meps08546,NA,1,BM
2.286,MEPS,2006,1972,2004,31,marine,1,Sweden,Sweden,10.3354/meps323233,34,0,MM
3.412,Oecologia,2010,1979,2009,31,terrestrial,0,France,France,10.1007/s00442-010-1660-y,NA,0,MS
4.092,PLoSOne,2010,1977,2007,31,terrestrial,1,NA,NA,NA,NA,0,RBL
31.36,Science,2010,1979,2009,31,terrestrial,0,usa,USA,10.1126/science.1188594,NA,0,ST
4.78,Ecology,2006,1961,1990,31,terrestrial,0,canada,USA,http://dx.doi.org/10.1890/0012-9658(2006)87[2773:PEOCCO]2.0.CO;2,238,,KK
4.78,Ecology,2006,1972,2003,31,marine,0,Norway,Norway,http://dx.doi.org/10.1890/0012-9658(2006)87[2915:DMWITM]2.0.CO;2,12,,KK
